algorithm, input, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32
parallel_block_sequential_sum, seq_64_test.txt/10, 1, 120, 646, 4865, 21985, 32737, 36543, 80331, 64005, 100435, 116277, 116438, 128232, 199873, 196700, 240019, 272827
parallel_block_parallel_sum, seq_64_test.txt/10, 1, 1887, 14586, 72808, 183109, 209537, 339445, 289531, 459145, 567551, 508480, 692273, 848718, 1230716, 950991, 1651213, 1248041
parallel_tree_sum, seq_64_test.txt/10, 1, 1043, 38944, 174753, 277152, 432721, 381621, 560610, 729874, 742098, 957943, 907928, 935771, 1228290, 948704, 1096111, 1141944
parallel_block_sequential_sum, 1k.txt/10, 12, 114, 7899, 16671, 36786, 32904, 56394, 82063, 173233, 131175, 126810, 194227, 120581, 271550, 267180, 262065, 116201
parallel_block_parallel_sum, 1k.txt/10, 20, 130, 5384, 58309, 155942, 180572, 253961, 435023, 524550, 831891, 811519, 699666, 955992, 979797, 949589, 1393225, 995634
parallel_tree_sum, 1k.txt/10, 12, 131, 356, 4495, 272835, 523133, 684033, 725638, 832395, 920236, 906626, 1662934, 1864987, 2531900, 2413238, 3298740, 3971073
parallel_block_sequential_sum, 8k.txt/10, 173, 1613, 30939, 49325, 80640, 113942, 98010, 95873, 147493, 79178, 134521, 158480, 118164, 141631, 162416, 478489, 177330
parallel_block_parallel_sum, 8k.txt/10, 244, 1260, 44220, 62090, 100087, 209796, 265066, 515319, 415961, 505684, 757481, 725480, 1195800, 1227236, 836911, 949149, 1240582
parallel_tree_sum, 8k.txt/10, 171, 394, 1158, 314033, 383748, 705546, 1328429, 1417225, 1340528, 1521816, 1515422, 2298001, 2596677, 1830832, 2502484, 2810686, 3087768
parallel_block_sequential_sum, 16k.txt/10, 231, 428, 7108, 34575, 35858, 74844, 181564, 109023, 82503, 118726, 159159, 337119, 344255, 184952, 258739, 161063, 231135
parallel_block_parallel_sum, 16k.txt/10, 436, 611, 6814, 72554, 107848, 159932, 246744, 471264, 404196, 478711, 691375, 900553, 844699, 1172317, 1162216, 1401104, 1123327
parallel_tree_sum, 16k.txt/10, 371, 501, 13486, 119182, 640334, 935678, 1052342, 1284978, 1153846, 1293838, 1759493, 1860488, 2104091, 2019414, 2732737, 2674907, 2882046
