algorithm, input, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32
parallel_block_sequential_sum, seq_64_test.txt/10, 1, 1785, 731, 4252, 2509, 695, 5003, 721, 6738, 2375, 1619, 6865, 4420, 1261, 2898, 4953, 1673
parallel_block_parallel_sum, seq_64_test.txt/10, 1, 146, 3881, 3691, 2201, 8419, 1572, 2226, 2252, 1685, 1956, 1887, 2418, 2860, 2312, 10618, 7080
parallel_tree_sum, seq_64_test.txt/10, 1, 224, 961, 2749, 833, 5363, 1705, 1577, 6656, 3972, 2491, 1951, 3872, 4355, 4292, 4041, 3172
parallel_block_sequential_sum, 1k.txt/10, 20, 152, 226, 310, 355, 996, 1042, 784, 832, 737, 920, 927, 3790, 1119, 1196, 3695, 1334
parallel_block_parallel_sum, 1k.txt/10, 12, 140, 271, 435, 599, 707, 851, 1127, 3814, 1787, 10346, 1720, 3094, 4060, 2352, 2844, 4105
parallel_tree_sum, 1k.txt/10, 20, 307, 541, 716, 955, 1165, 1347, 1609, 1962, 2771, 2601, 2487, 3464, 2995, 3109, 3269, 3530
parallel_block_sequential_sum, 8k.txt/10, 181, 261, 356, 762, 546, 492, 615, 651, 822, 783, 904, 3334, 1399, 1481, 2267, 1539, 7939
parallel_block_parallel_sum, 8k.txt/10, 167, 342, 385, 1691, 1052, 2067, 15544, 14160, 1429, 1560, 1792, 9354, 10545, 4907, 3637, 4065, 3983
parallel_tree_sum, 8k.txt/10, 145, 593, 732, 1134, 3805, 1768, 1987, 1997, 6656, 3648, 8040, 4542, 5645, 12488, 7104, 28274, 26934
parallel_block_sequential_sum, 16k.txt/10, 245, 597, 398, 694, 533, 550, 654, 782, 834, 862, 1016, 1392, 1351, 1259, 1321, 1513, 1467
parallel_block_parallel_sum, 16k.txt/10, 367, 564, 2430, 781, 689, 2688, 5832, 8696, 10207, 3386, 19682, 4267, 8741, 5667, 4552, 21931, 4453
parallel_tree_sum, 16k.txt/10, 413, 2378, 12591, 5505, 47897, 1875, 2296, 8517, 8055, 12506, 3444, 13931, 12482, 7972, 10998, 5335, 5452
