algorithm, input, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32
parallel_block_sequential_sum, seq_64_test.txt/10000, 999, 1588, 11583, 2112, 1762, 7704, 10479, 2408, 10907, 10606, 8135, 1635, 2046, 3073, 1505, 1742, 1881
parallel_block_parallel_sum, seq_64_test.txt/10000, 931, 1725, 1402, 1840, 2360, 4422, 2448, 1862, 15403, 8545, 3002, 2655, 8069, 3993, 6023, 3428, 3159
parallel_tree_sum, seq_64_test.txt/10000, 1013, 1531, 1099, 1910, 4919, 3021, 3272, 2833, 1799, 3576, 2674, 2374, 7237, 4572, 3199, 3463, 6772
parallel_block_sequential_sum, 1k.txt/10000, 17964, 19963, 11091, 9236, 10329, 9452, 9751, 10217, 10573, 10194, 11203, 11177, 11459, 10496, 9401, 10798, 10013
parallel_block_parallel_sum, 1k.txt/10000, 15979, 16268, 16343, 14729, 19114, 17985, 14648, 16040, 13404, 19544, 17886, 16573, 14585, 17881, 15232, 28868, 20155
parallel_tree_sum, 1k.txt/10000, 20030, 71449, 34959, 14948, 12257, 11181, 66109, 90454, 37068, 18969, 21786, 16183, 12559, 28718, 79263, 84304, 68394
parallel_block_sequential_sum, 8k.txt/10000, 145045, 173003, 156696, 157455, 141755, 202615, 194488, 138285, 191216, 152488, 127175, 226366, 178688, 217587, 164335, 179910, 195083
parallel_block_parallel_sum, 8k.txt/10000, 161158, 184275, 111546, 65381, 81310, 89151, 126404, 77691, 98786, 138731, 69938, 87193, 60365, 59603, 60299, 59936, 60470
parallel_tree_sum, 8k.txt/10000, 143964, 143691, 89231, 63989, 69852, 69429, 69295, 57039, 56384, 57210, 53656, 54985, 57115, 64240, 74913, 78442, 81245
parallel_block_sequential_sum, 16k.txt/10000, 284848, 292470, 159763, 120346, 106382, 113082, 120772, 135454, 157804, 139222, 134283, 142207, 172253, 125476, 222135, 192560, 156579
parallel_block_parallel_sum, 16k.txt/10000, 273626, 278076, 287443, 234744, 204834, 336049, 288660, 265191, 225351, 176609, 157498, 223085, 93724, 96864, 100916, 94211, 104061
parallel_tree_sum, 16k.txt/10000, 287285, 293823, 155952, 120061, 129390, 120953, 116088, 114153, 117825, 131223, 118563, 113688, 114545, 113401, 114358, 112706, 113083
